user_id,name,age,gender,location
user1,Sarah Delgado,28,Male,Chicago
user2,Jack Goodwin,26,Male,San Diego
user3,Diana King,80,Female,Florida
user4,Roger Smith,54,Female,Florida
user5,Emily Avery,33,Female,San Diego
user6,Beth Russell,45,Male,Phoenix
user7,Patrick Wagner,62,Female,Florida
user8,Nicholas Parrish,77,Male,Florida
user9,Brent Johnson,73,Male,Florida
user10,Raymond Gonzalez,64,Male,Florida
user11,Nicole Hall,37,Male,San Diego
user12,Mrs. Becky Patel,67,Female,Florida
user13,Justin Arnold,58,Female,Florida
user14,Karen Arroyo,23,Male,San Antonio
user15,Lori Martinez,31,Female,Los Angeles
user16,Kevin Walker,56,Male,Phoenix
user17,George Ellison,63,Other,Florida
user18,Laurie Henderson,32,Female,New York
user19,Bradley Henry,29,Female,Dallas
user20,Calvin Ortiz,61,Female,Florida
user21,Albert White,50,Female,Philadelphia
user22,Corey Ortiz,56,Other,Philadelphia
user23,Laura Casey,45,Male,Philadelphia
user24,Kimberly Johnson,48,Female,Philadelphia
user25,Brian Davis,28,Female,San Antonio
user26,Matthew White,44,Female,Los Angeles
user27,Kimberly Nolan,35,Male,Los Angeles
user28,Sarah Odonnell,51,Male,Philadelphia
user29,Katherine Jones,29,Other,Los Angeles
user30,George Castillo,62,Male,Florida
user31,Linda Moore,49,Male,Phoenix
user32,Paul Smith,25,Female,New York
user33,Sandra Barry,67,Female,Florida
user34,Megan Chang,68,Female,Florida
user35,John Bailey,74,Male,Florida
user36,Howard Doyle,62,Female,Philadelphia
user37,Mary Davis,80,Female,Florida
user38,Russell Lee,79,Male,Florida
user39,Emily Pearson,46,Male,Florida
user40,Megan Adams,80,Other,Florida
user41,Cynthia Sullivan,29,Female,Los Angeles
user42,Ryan Wyatt,69,Female,Florida
user43,Jacob Murphy,38,Male,Los Angeles
user44,Christina Serrano,28,Female,San Diego
user45,Brandon Hernandez,45,Female,Philadelphia
user46,Matthew Serrano,58,Male,Philadelphia
user47,Nathaniel Ritter,53,Female,Florida
user48,Ashley Smith,62,Female,Florida
user49,Jeremy White,40,Female,San Diego
user50,Jason Martinez,35,Male,Los Angeles
user51,Tracy Ross,56,Female,Florida
user52,Leslie Johnson,73,Male,Florida
user53,Heidi Edwards,73,Male,Florida
user54,Michael Clayton,75,Female,Florida
user55,Mariah Gomez,58,Male,Philadelphia
user56,Melissa George,54,Male,Florida
user57,Marisa Wood,64,Female,Florida
user58,Jacob Salazar,77,Female,Florida
user59,William Perez,38,Male,San Diego
user60,Gina Oneill,46,Male,San Jose
user61,Nathaniel Myers,36,Male,New York
user62,Patrick Davila,55,Female,San Jose
user63,Fernando Davidson,59,Female,Philadelphia
user64,Frederick Browning,23,Male,New York
user65,Amy Luna,29,Other,New York
user66,Aaron King,44,Other,Philadelphia
user67,Kristin White,25,Female,San Diego
user68,Taylor Ashley,27,Male,Los Angeles
user69,Brian Delacruz,66,Female,Florida
user70,Kyle Mcdonald,54,Male,Phoenix
user71,Lauren Osborne,42,Male,Los Angeles
user72,Monica Peterson,55,Female,Philadelphia
user73,Dr. John Fisher,49,Male,Phoenix
user74,John Stevens,51,Male,San Jose
user75,Melissa King,24,Male,Chicago
user76,Tyler Flores,55,Female,Chicago
user77,Vanessa Hammond,67,Male,Florida
user78,Nicole Guzman,57,Female,Philadelphia
user79,Jamie Phillips MD,60,Male,Philadelphia
user80,Christopher Leonard,47,Female,San Jose
user81,James Mann,57,Male,Philadelphia
